episode[sid]                                                                                n     w<0  flip  min|w|  |w|<.05   dRaw  dHemi  yawWrap
thor_gmsl2_11ch_v1_20260625_081125/episode_000000[box1819152274/box_imu]                   64    0.0%     0   0.297        0  0.100  0.100        0
thor_gmsl2_11ch_v1_20260625_081125/episode_000001[box1672693301/box_imu]                   72    0.0%     0   0.190        0  0.000  0.000        0
thor_gmsl2_11ch_v1_20260625_081125/episode_000001[box1819152274/box_imu]                   78    0.0%     0   0.111        0  0.342  0.342        0
thor_gmsl2_11ch_v1_20260625_085938/episode_000000[box_imu]                               1971    0.0%     0   0.610        0  0.000  0.000        0
thor_gmsl2_11ch_v1_20260625_085938/episode_000001[box_imu]                               1966   64.0%     0   0.000      323  0.079  2.000        0
thor_gmsl2_11ch_v1_20260625_085938/episode_000002[box_imu]                               1949   98.3%     0   0.000      194  0.033  2.000        0
thor_gmsl2_11ch_v1_20260625_144348/episode_000000[box_imu]                               2000    0.0%     0   0.169        0  0.000  0.000        0
thor_gmsl2_11ch_v1_20260625_144348/episode_000001[box_imu]                                797    0.0%     0   0.169        0  0.000  0.000        0
thor_gmsl2_11ch_v1_20260625_144648/episode_000000[box_imu]                               1200    0.0%     0   0.169        0  0.000  0.000        0
thor_gmsl2_11ch_v1_20260625_234326/episode_000000[box_imu]                               2007   24.3%     0   0.001      240  0.013  1.999        0
thor_gmsl2_11ch_v1_20260626_000346/episode_000000[box_imu]                               2009    0.0%     0   0.195        0  0.000  0.000        0
thor_gmsl2_11ch_v1_20260702_130636/episode_000000[box_imu]                               2110  100.0%     0   0.111        0  0.004  0.004        0
thor_gmsl2_11ch_v1_20260702_135004/episode_000000[box_imu]                               2101  100.0%     0   0.280        0  0.002  0.002        0
thor_gmsl2_11ch_v1_20260702_140010/episode_000000[box_imu]                               2110   96.0%     0   0.000       57  0.008  2.000        0
thor_gmsl2_11ch_v1_20260702_140010/episode_000001[box_imu]                               2098  100.0%     0   0.186        0  0.002  0.002        0
thor_gmsl2_11ch_v1_20260702_140010/episode_000002[box_imu]                               2103  100.0%     0   0.183        0  0.002  0.002        0
thor_gmsl2_11ch_v1_20260702_140010/episode_000003[box_imu]                               2112  100.0%     0   0.186        0  0.003  0.003        0
thor_gmsl2_11ch_v1_20260702_140010/episode_000004[box_imu]                               2094  100.0%     0   0.184        0  0.003  0.003        0
thor_gmsl2_11ch_v1_20260709_075307/episode_000000[box_imu]                               2000  100.0%     0   0.022     1661  0.002  0.002        0
thor_gmsl2_11ch_v1_20260709_075307/episode_000001[box_imu]                               1993  100.0%     0   0.046       79  0.002  0.002        0
thor_gmsl2_11ch_v1_20260709_075307/episode_000002[box_imu]                               2005   97.6%     0   0.000      167  0.005  2.000        0
thor_gmsl2_11ch_v1_20260709_075307/episode_000003[box_imu]                               2008  100.0%     0   0.129        0  0.002  0.002        0
thor_gmsl2_11ch_v1_20260713_074706/episode_000000[box_imu]                               2000  100.0%     0   0.270        0  0.000  0.000        0
